75e333ea-88c7-43e1-9f06-555a725f943a, Mercedes Benz C class C300 AMG 2014, 499000000, Lắp ráp trong nước, 2, White, Black, 4, 5, Số tự động, Xăng, L/100Km, Auto88 về Mercedes C300 AMG phiên bản plus sản xuất 2014 siêu mới xe 1 chủ từ đầu nội ngoại thất như xe mới trong hãng ra. Xe mới chỉ chạy 9 vạn cây thôi ạ và xe là bản kỉ niệm cuối cùng đời 2014 cửa nóc đôi dây đai đỏ ghế da lộn. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 2, 4, 2023-11-05
9f4c358f-3323-4c87-9a35-2f0f6619c95b, SantaFe Cao cấp 2.2L HTRAC 2022, 1175000000, Lắp ráp trong nước, 2, White, Red, 5, 7, Số tự động, AWD - 4 bánh toàn thời gian, L/100Km, Auto88 về Hyundai Santafe phiên bản 2.2 Dầu Cao cấp sản xuất 2022 siêu mới xe 1 chủ từ đầu biển sẵn TP nội ngoại thất như xe mới trong hãng ra. Trang bị không thiếu thứ gì. Xe mới chỉ chạy 5v km thôi ạ. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 2, 3, 2023-11-08
6a75db85-4037-4c45-b814-3fcc1b0c6e8c, Mazda CX8 Luxury 2021, 835000000, Lắp ráp trong nước, 2, Green, Black, 5, 7, Số tự động, Xăng, L/100Km, Auto88 về Mazda CX8 phiên bản Luxury sản xuất 2021 siêu mới xe 1 chủ từ đầu nội ngoại thất như xe mới trong hãng ra. Xe mới chỉ chạy 2.6v cây thôi ạ. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 1, 6, 2023-11-05
971ab313-b038-4de5-8d8c-9527a53c2b1f, Peugeot 5008 Allure 1.6 AT 2020, 845000000, Lắp ráp trong nước, 2, Trắng, Đen, 5, 7, Số tự động, Xăng, L/100Km, Auto88 về Peugeot 5008 phiên bản Allure sản xuất 2020 siêu mới xe 1 chủ từ đầu nội ngoại thất như xe mới trong hãng ra. Xe mới chỉ chạy 3 vạn cây thôi ạ. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 1, 1, 2023-11-06
a3010fb7-1330-4aa0-aed8-aea330a5514f, Hyundai SantaFe Cao cấp 2.2L HTRAC 2022, 1115000000, Lắp ráp trong nước, 1, Trắng, Nâu, 5, 7, Số tự động, Diesel, L/100Km, Auto88 về Hyundai Santafe phiên bản 2.2 Dầu Cao cấp sản xuất 2022 siêu mới xe 1 chủ từ đầu biển sẵn TP nội ngoại thất như xe mới trong hãng ra. Trang bị không thiếu thứ gì. Xe mới chỉ chạy 5v km thôi ạ. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 2, 3, 2023-11-05
90aae2b8-b747-43e2-b297-d86544b98097, Mercedes Benz C class C200 Exclusive 2023, 2350000000, Lắp ráp trong nước, 1, Trắng, Kem, 4, 5, Số tự động, Xăng, L/100Km, Auto88 về Mercedes C200 Exclusive sản xuất 2019 siêu mới xe 1 chủ từ đầu nội ngoại thất như xe mới trong hãng ra. Trang bị không thiếu thứ gì. Xe mới chỉ chạy 3 vạn cây thôi ạ. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 2, 4, 2023-11-05
502bf635-d7f5-4fe9-9ef6-095a7be91c84, Honda Sportage Signature X-Line 2.0D 2022, 945000000, Lắp ráp trong nước, 2, Đen, Nâu, 5, 5, Số tự động, Diesel, L/100Km, Auto88 về Honda Sportage phiên bản 2.0 dầu Signature sx 2022 chạy 2v km cực kì mới xe full lịch sử bảo dưỡng trong hãng. Auto88 cam kết sản phẩm bán ra không đâm đụng không ngập nước động cơ hộp số nguyên bản hồ sơ pháp lý chuẩn không phạt nguội., 3, 5, 2023-11-08
c12720d8-f2eb-4e5e-b628-1701d730ea69, Toyota Veloz Cross 2022, 648000000, Lắp ráp trong nước, 1, Trắng, Đen, 5, 5, Vô cấp CVT, Xăng, L/100Km, Toyota Veloz chính thức ra mắt tại Việt Nam ngày 22/3/2022 với 2 phiên bản là Veloz Cross và Veloz Cross Top là dòng xe MPV 7 chỗ bình dân của Toyota. Toyota Veloz Cross là dòng xe MPV 7 chỗ cỡ nhỏ biến thể cao cấp của dòng xe Toyota Avanza., 3, 2, 2023-11-09
b519bca4-ce37-4dea-b77f-a72f7d1c18d2, Toyota Camry 2023, 1070000000, Nhập nguyên chiếc, 1, Trắng, Nâu, 5, 5, Số tự động, Xăng, L/100Km, Phiên bản 2.0G và 2.0Q sử dụng động cơ 2.0L 4 xylanh thẳng hàng (mã M20A-FKS) cho công suất tối đa 170 mã lực tại 6.600 vòng/phút và mô men xoắn cực đại 206Nm tại 4.400 – 4.900 vòng/phút kết hợp hộp số tự động vô cấp CVT. Phiên bản thu hút nhiều sự chú ý nhất là hybrid 2.5HV sử dụng động cơ xăng 2.5L kết hợp mô tơ điện cho tổng công suất tối đa 176 mã lực tại 5.700 vòng/phút và mô men xoắn tối đa 221Nm tại 3.600 – 5.200 vòng/phút kết hợp hộp số tự động vô cấp E-CVT., 2, 2, 2023-11-09
7b06c52c-ec54-4fd9-9c61-fefb1aa6efc1, Mazda BT-50 2023, 659000000, Lắp ráp trong nước, 1, Đen, Đen, 4, 5, 6-AT, Dầu, L/80Km, Mazda BT-50 là mẫu xe bán tải được khá nhiều người ưa chuộng mẫu bán tải của Mazda sở hữu ngoại hình hiện đại và thanh lịch khác biệt với vẻ thể thao của các mẫu bán tải trong cùng phân khúc của mình. Trong phân khúc Mazda BT-50 cạnh tranh trực tiếp với các mẫu xe như: Ford Ranger Mitsubishi Triton Toyota Hilux. , 4, 6, 2023-11-08
8dc44d04-64ba-4d47-9925-5ff310abf07e, Mercedes Benz C class C200 Exclusive 2015, 856000000, VietNam, 2, White, Black, 5, 5, Automatically gear box, FWD -  Front-wheel drive, L/100Km, The Mercedes-Benz C-Class is a series of compact executive cars produced by Mercedes-Benz Group AG. Introduced in 1993 as a replacement for the 190 (W201) range the C-Class was the smallest model in the marque's line-up until the W168 A-Class arrived in 1997. , 2, 4, 2023-11-09
